id,max_qtty,grade
1822875,15,BD
1833702,15,BD
1842880,15,BD
1393400,15,CD
1399871,15,CD
1413968,15,CD
1419052,15,CD
1435441,15,CD
1467646,15,CD
1474600,15,CD
1477077,15,CD
1478180,15,CD
1731832,15,CD
1742422,15,CD
1822875,15,CD
1827116,15,CD
1855693,15,CD
1861628,15,CD
1369271,15,ABC
1393400,15,ABC
1464704,15,ABC
1467646,15,ABC
1474600,15,ABC
1827116,15,ABC
1828799,15,ABC
1833702,15,ABC
1841071,15,ABC
1842880,15,ABC
1855693,15,ABC
1858957,15,ABC
1861628,15,ABC
1863964,15,ABC
1867555,15,ABC
1399871,15,ABD
1413968,15,ABD
1419052,15,ABD
1435441,15,ABD
1464704,15,ABD
1477077,15,ABD
1478180,15,ABD
1742422,15,ABD
1822875,15,ABD
1828799,15,ABD
1833702,15,ABD
1841071,15,ABD
1842880,15,ABD
1863964,15,ABD
1867555,15,ABD
1393400,15,ACD
1399871,15,ACD
1413968,15,ACD
1419052,15,ACD
1435441,15,ACD
1477077,15,ACD
1478180,15,ACD
1742422,15,ACD
1822875,15,ACD
1828799,15,ACD
1841071,15,ACD
1855693,15,ACD
1861628,15,ACD
1863964,15,ACD
1867555,15,ACD
1393400,15,BCD
1399871,15,BCD
1413968,15,BCD
1419052,15,BCD
1435441,15,BCD
1438446,15,BCD
1464704,15,BCD
1477077,15,BCD
1478180,15,BCD
1742422,15,BCD
1822875,15,BCD
1833702,15,BCD
1842880,15,BCD
1855693,15,BCD
1861628,15,BCD
1393400,15,ABCD
1399871,15,ABCD
1419052,15,ABCD
1464704,15,ABCD
1477077,15,ABCD
1478180,15,ABCD
1742422,15,ABCD
1822875,15,ABCD
1828799,15,ABCD
1833702,15,ABCD
1841071,15,ABCD
1842880,15,ABCD
1855693,15,ABCD
1861628,15,ABCD
1867555,15,ABCD
1393030,20,A
1741802,20,A
1765474,20,A
1784490,20,A
1828799,20,A
1830308,20,A
1830718,20,A
1830769,20,A
1832570,20,A
1834045,20,A
1836260,20,A
1836874,20,A
1837657,20,A
1841071,20,A
1844584,20,A
1849789,20,A
1863964,20,A
1865743,20,A
1866006,20,A
1867555,20,A
1246355,20,B
1403672,20,B
1431333,20,B
1436844,20,B
1438446,20,B
1450384,20,B
1461229,20,B
1464422,20,B
1464704,20,B
1480824,20,B
1483926,20,B
1485127,20,B
1751061,20,B
1833702,20,B
1842880,20,B
1854055,20,B
1859053,20,B
1865784,20,B
1866508,20,B
1866766,20,B
1245093,20,C
1369271,20,C
1374615,20,C
1393400,20,C
1396533,20,C
1417929,20,C
1444327,20,C
1467646,20,C
1474600,20,C
1733986,20,C
1759355,20,C
1810933,20,C
1827116,20,C
1827246,20,C
1855693,20,C
1858957,20,C
1861628,20,C
1864167,20,C
1864447,20,C
1866431,20,C
1360734,20,D
1382423,20,D
1397349,20,D
1399871,20,D
1405289,20,D
1413968,20,D
1419052,20,D
1424974,20,D
1435441,20,D
1439038,20,D
1445404,20,D
1462269,20,D
1468148,20,D
